QA 번호	화면/모듈	카테고리	테스트 항목	확인 결과	비고
D-69	결과	전체	완료 시 completed 상태 로그가 생성되는가	통과	완료 시 `GAME_COMPLETED`, `status:'completed'` payload가 생성됨.
D-70	결과	전체	중도 종료 시 abandoned 또는 별도 종료 상태가 생성되는가	통과	중도 종료 시 `GAME_ABANDONED`, `status:'abandoned'`, abandonedReason이 생성됨.
D-71	결과	전체	correct_count, wrong_count, accuracy_rate 값이 계산되는가	부분 통과	correct_count/wrong_count와 accuracy는 계산됨. 단 필드명 `accuracy_rate`는 없고 `accuracy`/`metrics.roundAccuracy`로 기록됨.
D-72	결과	전체	result_detail_json.question_logs가 문항별로 생성되는가	부분 통과	문항별 로그는 `question_logs`로 생성되며 `result_detail_json` 내부가 아니라 payload 최상위에 위치함.
D-73	결과	전체	first_response_time_ms가 문항별 또는 세션 집계로 기록되는가	통과	문항별 `first_response_time_ms`와 `response_time_ms`가 기록됨.
D-74	결과	전체	changed_answer_count가 선택 변경 횟수로 기록되는가	문제 발견	`changed_answer_count` 필드는 존재하지만 항상 0으로 고정되고 선택 변경 기능 자체가 없음.
D-75	결과	전체	touch_miss_count 또는 동일 목적의 터치 실패 지표를 기록할 수 있는가	부분 통과	오터치 성격의 `wrong_tap_count`는 기록됨. `drag_fail_count`는 필드만 있고 0 고정이며 별도 touch_miss 지표는 없음.
D-76	결과	전체	힌트 사용 횟수와 자동 힌트 여부가 기록되는가	부분 통과	`hint_count`/`hint_used`는 기록됨. 수동/자동 힌트 구분 플래그는 별도 기록되지 않음.
D-77	결과	전체	총 소요 시간과 문항별 소요 시간이 기록되는가	통과	전체 소요시간(`duration_ms`, `total_elapsed_ms`)과 문항별 `response_time_ms`가 기록됨.
D-78	WebView 연동	전체	게임 준비/시작/완료 이벤트를 앱으로 전달할 수 있는가	통과	`GAME_READY`, `GAME_STARTED`, `GAME_COMPLETED`가 WebView postMessage로 전달됨.
D-79	WebView 연동	알림 모드	완료 후 auto_return_url로 이동하는가	부분 통과	알림 모드 auto_return 로직은 있음. 다만 URL이 로컬 `file:///C:/...`로 하드코딩되어 배포 환경 수정 필요.
D-80	WebView 연동	케어/AI 연동 모드	효담콜로 돌아가기 확인 후 return_url로 이동하는가	부분 통과	케어/AI 복귀 버튼 로직은 있음. `return_url`이 로컬 `file:///C:/...` 경로라 배포 환경 수정 필요.
D-81	WebView 연동	AI 연동 모드	웹뷰가 직접 마이크/STT 권한을 요구하지 않는가	통과	마이크/STT 권한 요청 코드는 없고, 외부 브리지 텍스트/명령 수신만 처리함.
D-82	WebView 연동	AI 연동 모드	앱에서 전달한 텍스트/명령 수신 확장 지점이 분리되어 있는가	통과	`parseBridgeMessage()`, `handleBridgeMessage()`, `handleExternalAnswer()`로 앱 전달 명령 처리 지점이 분리됨.
D-83	반응형	웹	표준 모드 웹 배치에서 좌측 패널, 보드, 안내 멘트 영역이 균형 있게 배치되는가	확인 필요	표준 모드 웹 레이아웃 반응형 CSS는 있으나 좌측 패널/보드/안내 멘트 균형은 브라우저 시각 확인 필요.
D-84	반응형	웹	알림 모드 웹 배치에서 보드와 안내 멘트가 겹치지 않는가	확인 필요	알림 모드 웹 배치 CSS는 있으나 보드/안내 멘트 겹침 여부는 시각 확인 필요.
D-85	반응형	웹	케어/AI 연동 모드 웹 배치에서 보드가 충분히 크게 표시되는가	확인 필요	케어/AI 모드 보드 확대 CSS는 있으나 충분한 크기인지는 실제 화면 확인 필요.
D-86	반응형	모바일 세로	표준 모드에서 보드와 하단 패널이 화면 안에 들어오는가	확인 필요	모바일 세로에서 보드/하단 패널을 맞추는 CSS는 있으나 실제 기기 확인 필요.
D-87	반응형	모바일 세로	케어/AI 연동 모드에서 효담콜 버튼이 하단 중앙에 표시되는가	확인 필요	케어/AI 세로 모드 return 버튼 위치 CSS는 있으나 하단 중앙 표시 여부는 시각 확인 필요.
D-88	반응형	모바일 가로	표준/알림 모드에서 좌측 패널, 중앙 보드, 우측 안내가 의도대로 배치되는가	확인 필요	모바일 가로 표준/알림 배치 CSS는 있으나 의도한 좌측 패널/중앙 보드 배치는 시각 확인 필요.
D-89	반응형	모바일 가로	케어/AI 연동 모드에서 효담콜 버튼이 지정 위치에 표시되는가	확인 필요	케어/AI 가로 모드 return 버튼 위치 CSS는 있으나 지정 위치 표시 여부는 시각 확인 필요.
D-90	반응형	모바일 가로	튜토리얼 모달 버튼과 설명 문구가 잘리지 않는가	확인 필요	튜토리얼 모달 반응형 CSS는 있으나 버튼/설명 문구 겹침은 시각 확인 필요.
D-91	접근성	전체	버튼의 aria-label 또는 텍스트가 스크린리더에 의미 있게 전달되는가	부분 통과	주요 영역과 일부 버튼에 aria-label/role이 있음. 셀 aria-label은 생성되지만 모든 컨트롤의 스크린리더 문맥은 추가 점검 권장.
D-92	접근성	전체	키보드 포커스 표시가 사라지지 않는가	통과	`:focus-visible` 스타일이 CSS에 정의되어 키보드 포커스 표시가 사라지지 않음.
D-93	접근성	전체	색상만으로 정답/선택 상태를 구분하지 않도록 테두리/두께/문구가 함께 제공되는가	부분 통과	정답/오답/힌트는 색상 외 클래스, 이미지, 문구도 병행됨. 다만 시각 대비/두께는 실제 접근성 확인 권장.
D-94	접근성	전체	짧은 반복 플래시가 3회 이상 빠르게 반복되지 않는가	확인 필요	케어/AI는 `flash_effect_level:low` 설정이 있고 CSS 효과가 있으나 실제 반복 플래시 강도는 시각 확인 필요.
D-95	에러 처리	전체	음성 파일 로드 실패 시 게임 진행이 멈추지 않는가	통과	음성 재생 실패 시 catch/대체 타이밍 처리로 게임 진행이 중단되지 않음.
D-96	에러 처리	전체	이미지 파일 로드 실패 시 대체 텍스트 또는 빈 카드로 안전하게 처리되는가	부분 통과	이미지 alt는 제공되지만 이미지 로드 실패 시 대체 텍스트 카드로 전환하는 `onerror` 핸들러는 없음.
D-97	에러 처리	전체	config fetch 실패 시 기본 config로 진행되거나 안내가 표시되는가	통과	config fetch/parse 실패 시 try/catch로 inline config와 `MODE_DEFAULTS` 기반 진행이 가능함.
D-98	성능	전체	모바일에서 보드 전환과 음성 재생이 과도하게 지연되지 않는가	확인 필요	모바일 보드 전환/음성 재생 지연은 코드만으로 확정 불가하며 실제 기기 성능 확인 필요.
D-99	성능	전체	한 세션 반복 플레이 후 이벤트 리스너/타이머가 중복 등록되지 않는가	통과	세션 초기화 시 타이머/이벤트 상태를 clear하고 셀은 재생성되므로 반복 플레이 시 중복 등록 위험이 낮음.
D-100	배포 확인	전체	GitHub Pages/로컬 허브에서 각 모드 URL이 정상 진입되는가	부분 통과	모드 URL 구조는 `modes/*/index.html`로 배포 가능함. config/return URL에 로컬 `file:///C:/...` 경로가 남아 있어 배포 전 수정 필요.
